UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2023,999,334133561,165375679,168757882,125510474,126344140,21921455,23670501,2247726,2203507,10176098,10975055,452375,439212,5067551,5125467,130042937,130904881,24262117,26081670,3669941,3682509,12068935,12853552,887636,876277,132668767,136790965,97062890,98586443,20242557,21949451,1197863,1230690,9828541,10629372,324577,319312,4012339,4075697,100651524,102211176,22078935,23850804,2191116,2284920,11430846,12218568,664405,662149,32706912,31966917,28447584,27757697,1678898,1721050,1049863,972817,347557,345683,127798,119900,1055212,1049770,29391413,28693705,2183182,2230866,1478825,1397589,638089,634984,223231,214128
R,1,2023,0,3658216,1869153,1789063,1290085,1230923,302914,294814,34055,32663,107568,101667,7381,6959,127150,122037,1407021,1343136,373308,362512,57808,55528,154517,146568,16107,15260,1356560,1294610,875869,830974,263814,256907,12347,11750,99668,94239,4093,3933,100769,96807,969076,920492,320436,311414,27300,26179,138407,131330,10410,9952,512593,494453,414216,399949,39100,37907,21708,20913,7900,7428,3288,3026,26381,25230,437945,422644,52872,51098,30508,29349,16110,15238,5697,5308
R,1,2023,1,3676497,1878573,1797924,1294045,1234084,303842,295915,34618,33192,110572,104734,7464,7073,128032,122926,1411786,1347100,374637,364005,58516,56209,157933,150078,16252,15418,1365187,1302845,879940,834465,264481,257729,12463,11891,102651,97219,4171,4009,101481,97532,973796,924637,321402,312534,27494,26404,141776,134722,10529,10071,513386,495079,414105,399619,39361,38186,22155,21301,7921,7515,3293,3064,26551,25394,437990,422463,53235,51471,31022,29805,16157,15356,5723,5347
R,1,2023,2,3646455,1864056,1782399,1278338,1219329,305362,295793,34795,33358,113977,107705,7007,6596,124577,119618,1392933,1329338,374359,362140,57923,55647,160044,151820,15524,14712,1361216,1298777,870535,827174,268290,259957,12895,12408,106259,100217,4256,3955,98981,95066,962089,915082,323874,313431,27497,26479,144411,136779,10454,9873,502840,483622,407803,392155,37072,35836,21900,20950,7718,7488,2751,2641,25596,24552,430844,414256,50485,48709,30426,29168,15633,15041,5070,4839
R,1,2023,3,3771901,1927183,1844718,1337496,1276497,302723,295334,36173,34767,118870,112025,7288,6861,124633,119234,1452066,1386090,371512,361330,59312,57061,165198,156087,15846,14946,1423319,1358622,927505,880496,266911,260754,14029,13609,110962,104511,4501,4227,99411,95025,1019360,968282,322454,314027,28769,27802,149536,141172,10815,10189,503864,486096,409991,396001,35812,34580,22144,21158,7908,7514,2787,2634,25222,24209,432706,417808,49058,47303,30543,29259,15662,14915,5031,4757
R,1,2023,4,3829239,1956375,1872864,1356792,1294868,306904,299906,36645,35145,122297,115195,7421,6991,126316,120759,1472890,1405841,376582,366707,60108,57719,169288,159847,16091,15201,1443882,1378388,939491,891721,270680,264827,14168,13753,114258,107557,4594,4321,100691,96209,1032511,980581,326865,318717,29088,28122,153412,144719,10990,10370,512493,494476,417301,403147,36224,35079,22477,21392,8039,7638,2827,2670,25625,24550,440379,425260,49717,47990,31020,29597,15876,15128,5101,4831
R,1,2023,5,3918551,2004704,1913847,1390986,1325028,312878,304323,36898,34683,128451,120506,7515,7088,127976,122219,1508539,1437359,382953,371867,60829,57652,176368,165607,16422,15453,1482902,1411599,962128,911840,277900,270429,14992,14306,120674,113038,4811,4465,102397,97521,1056614,1001900,334598,325034,30352,28984,160783,150621,11451,10633,521802,502248,428858,413188,34978,33894,21906,20377,7777,7468,2704,2623,25579,24698,451925,435459,48355,46833,30477,28668,15585,14986,4971,4820
R,1,2023,6,4031104,2061248,1969856,1441936,1373362,312534,305789,36358,35107,133030,124694,7625,7221,129765,123683,1561174,1487048,382709,373213,60940,58670,182119,170876,16742,15770,1525470,1454522,998356,946873,277577,271912,15784,15143,125146,117246,4887,4580,103720,98768,1094094,1038089,334215,326376,31628,30294,166241,155824,11680,10916,535778,515334,443580,426489,34957,33877,20574,19964,7884,7448,2738,2641,26045,24915,467080,448959,48494,46837,29312,28376,15878,15052,5062,4854
R,1,2023,7,4083163,2086684,1996479,1468118,1399227,317125,309467,35651,34436,128990,121802,7443,7230,129357,124317,1587043,1513516,387124,377365,60463,58186,177524,167987,16507,15847,1545349,1474835,1017395,965397,282562,275744,16100,15376,121195,114409,4703,4578,103394,99331,1112888,1057152,339125,330643,32124,30675,161778,152987,11451,10984,541335,521644,450723,433830,34563,33723,19551,19060,7795,7393,2740,2652,25963,24986,474155,456364,47999,46722,28339,27511,15746,15000,5056,4863
R,1,2023,8,4105663,2097935,2007728,1475598,1405634,318824,311641,35643,34897,131785,124941,7293,7134,128792,123481,1593972,1519119,388230,378828,60438,58722,180317,170838,16392,15732,1560688,1489250,1028193,974433,283878,277767,16332,15823,124399,117846,4723,4618,103163,98763,1123441,1065622,339952,332116,32455,31226,165142,156266,11531,11052,537247,518478,447405,431201,34946,33874,19311,19074,7386,7095,2570,2516,25629,24718,470531,453497,48278,46712,27983,27496,15175,14572,4861,4680
R,1,2023,9,4065006,2080959,1984047,1465988,1392818,318757,309431,36161,34731,126295,119283,6985,6693,126773,121091,1582449,1504017,386878,375464,60836,58248,174014,164156,16111,15211,1547318,1472275,1021243,966490,284139,276161,16746,15950,119276,112554,4569,4332,101345,96788,1114789,1055780,339125,329583,32805,31230,159196,150014,11326,10608,533641,511772,444745,426328,34618,33270,19415,18781,7019,6729,2416,2361,25428,24303,467660,448237,47753,45881,28031,27018,14818,14142,4785,4603
R,1,2023,10,4092398,2091178,2001220,1472674,1405357,318846,310180,35827,34603,130794,123630,7104,6872,125933,120578,1588275,1516013,386083,375228,60425,58293,178581,168740,16243,15546,1555805,1483756,1025149,972849,284673,277212,16830,16176,123851,116809,4655,4440,100647,96270,1117939,1061605,338851,329689,32826,31574,163929,154509,11445,10858,535373,517464,447525,432508,34173,32968,18997,18427,6943,6821,2449,2432,25286,24308,470336,454408,47232,45539,27599,26719,14652,14231,4798,4688
R,1,2023,11,4103694,2103394,2000300,1491361,1414121,320112,309579,36188,34892,123980,116802,6833,6566,124920,118340,1606081,1522726,387149,373364,60966,58494,170742,160863,15842,15064,1558799,1478039,1034307,976147,286457,277146,17020,16110,117101,110288,4396,4208,99518,94140,1126120,1062951,340405,328438,33117,31384,156118,147009,11052,10457,544595,522261,457054,437974,33655,32433,19168,18782,6879,6514,2437,2358,25402,24200,479961,459775,46744,44926,27849,27110,14624,13854,4790,4607
R,1,2023,12,4195172,2150672,2044500,1534395,1454337,326240,314520,34643,33428,122369,115906,6723,6369,126302,119940,1650569,1564552,393820,379227,60056,57875,169291,159908,15771,14837,1586197,1503980,1054172,994743,294531,283416,17196,16725,115737,109811,4451,4250,100110,95035,1146637,1082413,348678,335228,33544,32518,154815,146495,11123,10506,564475,540520,480223,459594,31709,31104,17447,16703,6632,6095,2272,2119,26192,24905,503932,482139,45142,43999,26512,25357,14476,13413,4648,4331
R,1,2023,13,4234995,2168560,2066435,1554840,1474584,328401,317630,34751,33297,120047,114919,6575,6456,123946,119549,1668937,1584458,395015,382595,59597,57353,165731,158388,15258,14883,1599349,1521511,1068650,1009565,296800,286999,17772,17123,113630,108782,4478,4336,98019,94706,1159316,1096968,350223,339102,33669,32639,151539,144990,10880,10539,569211,544924,486190,465019,31601,30631,16979,16174,6417,6137,2097,2120,25927,24843,509621,487490,44792,43493,25928,24714,14192,13398,4378,4344
R,1,2023,14,4411418,2259536,2151882,1624414,1539524,345073,333953,35805,34089,122797,117619,6815,6669,124632,120028,1738939,1649871,412196,399443,60917,58092,168115,160716,15690,15028,1668993,1588810,1118447,1057352,312262,302647,18337,17668,116291,111437,4647,4496,99009,95210,1209700,1145294,366438,355549,34504,32931,154178,147372,11200,10614,590543,563072,505967,482172,32811,31306,17468,16421,6506,6182,2168,2173,25623,24818,529239,504577,45758,43894,26413,25161,13937,13344,4490,4414
R,1,2023,15,4462559,2285723,2176836,1649603,1564033,345293,334671,36616,35427,125422,119002,6808,6650,121981,117053,1761568,1671396,410679,398276,61630,59373,169923,161123,15555,14925,1687369,1605803,1135661,1074020,312873,303450,18500,18219,118937,113032,4648,4455,96750,92627,1224859,1159244,365568,354621,34560,33510,156025,148092,11152,10551,598354,571033,513942,490013,32420,31221,18116,17208,6485,5970,2160,2195,25231,24426,536709,512152,45111,43655,27070,25863,13898,13031,4403,4374
R,1,2023,16,4421769,2263865,2157904,1640752,1558071,340317,329195,36641,34699,122262,116816,6593,6504,117300,112619,1748395,1661372,402468,389700,61015,58111,165445,157349,15116,14562,1675022,1594881,1133851,1073910,309073,298689,18486,17750,115899,110870,4545,4374,93168,89288,1219669,1156080,359260,347721,34156,32740,151975,144660,10832,10310,588843,563023,506901,484161,31244,30506,18155,16949,6363,5946,2048,2130,24132,23331,528726,505292,43208,41979,26859,25371,13470,12689,4284,4252
R,1,2023,17,4355168,2228004,2127164,1625314,1540243,327598,319872,35654,34507,121907,119557,6620,6553,110911,106432,1726952,1637668,385655,376114,59347,57002,162883,158729,14602,14126,1654933,1581012,1130767,1068909,297649,290969,18119,17816,115987,113959,4489,4507,87922,84852,1211613,1146791,344498,336602,33298,32278,150345,146888,10390,10178,573071,546152,494547,471334,29949,28903,17535,16691,5920,5598,2131,2046,22989,21580,515339,490877,41157,39512,26049,24724,12538,11841,4212,3948
R,1,2023,18,4349283,2223531,2125752,1624656,1541772,324238,315606,35269,33487,126266,125095,6614,6326,106488,103466,1722117,1636318,379317,369549,58395,55941,165959,163185,14366,13814,1663111,1590907,1139778,1079156,295178,287823,18140,17212,120357,119516,4665,4482,84993,82718,1217872,1154947,339725,331670,33252,31923,153788,151700,10455,10106,560420,534845,484878,462616,29060,27783,17129,16275,5909,5579,1949,1844,21495,20748,504245,481371,39592,37879,25143,24018,12171,11485,3911,3708
R,1,2023,19,4356504,2226136,2130368,1633671,1549853,321062,314319,34316,33088,127928,127128,6455,6180,102704,99800,1727615,1641114,373480,365672,57204,55291,166271,164152,14044,13495,1675785,1603328,1156629,1092973,292732,287403,17658,17222,122246,121663,4557,4394,81963,79673,1231836,1166080,335258,329069,32642,31891,154573,152762,10267,9893,550351,527040,477042,456880,28330,26916,16658,15866,5682,5465,1898,1786,20741,20127,495779,475034,38222,36603,24562,23400,11698,11390,3777,3602
R,1,2023,20,4325676,2209470,2116206,1620330,1538583,321939,316930,34521,32654,128223,126537,6393,6195,98064,95307,1709739,1625408,371696,365767,57002,54626,164711,161575,13814,13258,1666369,1596542,1149044,1086826,293941,290655,17756,17263,122629,121369,4547,4388,78452,76041,1220767,1156367,334406,330237,32556,31750,153416,150864,10181,9732,543101,519664,471286,451757,27998,26275,16765,15391,5594,5168,1846,1807,19612,19266,488972,469041,37290,35530,24446,22876,11295,10711,3633,3526
R,1,2023,21,4344071,2217923,2126148,1625585,1546954,326925,321238,34147,32117,128994,126080,6184,6059,96088,93700,1713098,1632255,375676,369192,56804,54455,164343,160085,13351,13085,1682254,1614610,1160349,1101823,299284,295314,17900,17258,123730,120966,4392,4271,76599,74978,1230276,1170300,338755,334358,32885,32172,153542,149693,9858,9616,535669,511538,465236,445131,27641,25924,16247,14859,5264,5114,1792,1788,19489,18722,482822,461955,36921,34834,23919,22283,10801,10392,3493,3469
R,1,2023,22,4430922,2261455,2169467,1649541,1569377,337969,332884,34523,33057,137868,135637,6301,6151,95253,92361,1736184,1653135,385828,380000,57618,55382,173020,169238,13445,13142,1724320,1656995,1182214,1123660,310622,306724,18364,17680,132467,130547,4573,4352,76080,74032,1251505,1190991,349384,345022,33761,32822,162253,158927,10036,9645,537135,512472,467327,445717,27347,26160,16159,15377,5401,5090,1728,1799,19173,18329,484679,462144,36444,34978,23857,22560,10767,10311,3409,3497
R,1,2023,23,4319209,2201065,2118144,1609355,1536320,328211,323897,33580,32396,133105,131334,6171,5876,90643,88321,1691705,1616232,374051,369102,56202,54350,165578,162854,13163,12696,1684407,1622404,1159450,1104822,301947,298662,18125,17656,127956,126422,4446,4200,72483,70642,1225453,1168827,339176,335490,33401,32556,155447,152946,9784,9415,516658,495740,449905,431498,26264,25235,15455,14740,5149,4912,1725,1676,18160,17679,466252,447405,34875,33612,22801,21794,10131,9908,3379,3281
R,1,2023,24,4339277,2208199,2131078,1614108,1543576,329819,326917,33271,32506,135319,135105,6171,5834,89511,87140,1695158,1622531,374339,370997,55840,54825,167630,166033,13304,12479,1696087,1638600,1168151,1114657,303740,302001,17962,17619,130093,130167,4489,4173,71652,69983,1233166,1178195,339907,337950,33300,33002,157429,156262,10002,9323,512112,492478,445957,428919,26079,24916,15309,14887,5226,4938,1682,1661,17859,17157,461992,444336,34432,33047,22540,21823,10201,9771,3302,3156
R,1,2023,25,4293715,2182970,2110745,1590904,1524748,325822,323181,32762,31862,141792,141210,6207,5794,85483,83950,1668245,1600574,367884,365003,54995,53792,172748,171312,12860,12224,1682500,1629586,1154635,1105114,300916,299096,17575,17514,136679,136329,4524,4193,68171,67340,1216412,1165989,334861,333133,32780,32685,162828,161827,9651,9154,500470,481159,436269,419634,24906,24085,15187,14348,5113,4881,1683,1601,17312,16610,451833,434585,33023,31870,22215,21107,9920,9485,3209,3070
R,1,2023,26,4343659,2205837,2137822,1610552,1544011,325063,324843,32850,31738,146975,148782,6349,5913,84048,82535,1686556,1618323,365651,365405,55265,53809,177576,178503,13039,12566,1704569,1657528,1173028,1124789,300253,301270,17767,17353,142026,143904,4592,4292,66903,65920,1233643,1184206,332824,334080,32935,32525,168074,169066,9774,9471,501268,480294,437524,419222,24810,23573,15083,14385,4949,4878,1757,1621,17145,16615,452913,434117,32827,31325,22330,21284,9502,9437,3265,3095
