UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2023,27,4389809,2230062,2159747,1622870,1556287,333973,331231,32891,31546,151769,154522,6450,6301,82109,79860,1696709,1627940,372986,370193,55788,53658,181704,183181,13130,12942,1728627,1677226,1185056,1134727,308937,307333,17934,17200,146788,149563,4708,4589,65204,63814,1243691,1192086,340224,338707,33670,32530,172169,173834,9918,9813,501435,482521,437814,421560,25036,23898,14957,14346,4981,4959,1742,1712,16905,16046,453018,435854,32762,31486,22118,21128,9535,9347,3212,3129
R,1,2023,28,4461241,2262261,2198980,1639342,1575609,348362,347447,33150,32454,155037,158123,6515,6556,79855,78791,1710770,1645915,385585,385323,56207,55053,184153,186479,13440,13126,1760081,1716605,1200381,1154441,323062,323132,18388,17880,150063,153322,4789,4849,63398,62981,1257061,1210602,352754,353657,34374,33749,174853,177394,10191,10004,502180,482375,438961,421168,25300,24315,14762,14574,4974,4801,1726,1707,16457,15810,453709,435313,32831,31666,21833,21304,9300,9085,3249,3122
R,1,2023,29,4544009,2306122,2237887,1665843,1596709,362871,359975,34153,33326,160109,164569,6690,6558,76456,76750,1733779,1664886,397893,396255,56585,56009,188581,192210,13473,13198,1798601,1753381,1221472,1173111,337171,335699,19016,18860,155239,159661,4866,4848,60837,61202,1275525,1227486,365096,364705,34666,34866,179457,183149,10165,10053,507521,484506,444371,423598,25700,24276,15137,14466,4870,4908,1824,1710,15619,15548,458254,437400,32797,31550,21919,21143,9124,9061,3308,3145
R,1,2023,30,4656444,2361055,2295389,1704902,1637947,373872,370461,35732,34101,164580,171215,6809,6651,75160,75014,1771526,1704417,406879,404591,58698,56849,192993,198964,13587,13353,1844559,1804112,1252639,1208159,347774,345539,19957,19408,159670,166247,4957,4890,59562,59869,1305394,1261191,373707,372673,36021,35512,184034,190016,10322,10150,516496,491277,452263,429788,26098,24922,15775,14693,4910,4968,1852,1761,15598,15145,466132,443226,33172,31918,22677,21337,8959,8948,3265,3203
R,1,2023,31,4718353,2379633,2338720,1717556,1663915,375219,380059,36265,33794,171388,179600,7530,7058,71675,74294,1780252,1728785,406103,413506,58434,56103,199076,208266,14512,14098,1867342,1853403,1270715,1241993,348356,353423,20214,19503,166370,174260,5473,5223,56214,59001,1319768,1293424,372184,379694,35498,35180,190031,198716,11014,10774,512291,485317,446841,421922,26863,26636,16051,14291,5018,5340,2057,1835,15461,15293,460484,435361,33919,33812,22936,20923,9045,9550,3498,3324
R,1,2023,32,4800662,2423660,2377002,1757674,1697211,374977,381244,36000,33345,178685,186799,7769,7252,68555,71151,1817387,1759368,403368,412834,57372,54915,206289,214457,14648,14099,1905603,1896133,1305834,1279608,347760,354197,19664,19267,173355,181477,5592,5402,53398,56182,1352116,1328540,369299,378826,34257,34278,197014,205086,11026,10832,518057,480869,451840,417603,27217,27047,16336,14078,5330,5322,2177,1850,15157,14969,465271,430828,34069,34008,23115,20637,9275,9371,3622,3267
R,1,2023,33,4694162,2368877,2325285,1722828,1659558,361392,371121,35082,32087,178098,188843,7920,7019,63557,66657,1778378,1717669,387332,400291,54967,52493,203670,214910,14209,13446,1868355,1863136,1286262,1257991,334942,345052,18978,18618,172972,183587,5792,5297,49409,52591,1329250,1303643,354468,367659,32561,32813,194938,205978,10791,10468,500522,462149,436566,401567,26450,26069,16104,13469,5126,5256,2128,1722,14148,14066,449128,414026,32864,32632,22406,19680,8732,8932,3418,2978
R,1,2023,34,4609200,2324567,2284633,1702502,1639322,339622,352931,34357,31332,180507,191147,7684,7060,59895,62841,1754556,1694037,363409,379965,53191,50630,205065,216116,13814,13148,1828691,1831581,1268947,1245446,314313,327425,18277,17865,175469,185999,5630,5348,46055,49498,1308804,1288403,331795,348067,30825,31355,196544,207473,10514,10234,495876,453052,433555,393876,25309,25506,16080,13467,5038,5148,2054,1712,13840,13343,445752,405634,31614,31898,22366,19275,8521,8643,3300,2914
R,1,2023,35,4513193,2280592,2232601,1686700,1614026,322240,336117,33089,30254,174226,184993,7713,6822,56624,60389,1735771,1666730,344606,361693,51082,48995,197489,208993,13722,12816,1789623,1787306,1255905,1226111,297990,311512,17478,17135,169338,180188,5561,5139,43351,47221,1293212,1267177,314337,330881,29413,30059,189287,200849,10363,9924,490969,445295,430795,387915,24250,24605,15611,13119,4888,4805,2152,1683,13273,13168,442559,399553,30269,30812,21669,18936,8202,8144,3359,2892
R,1,2023,36,4493737,2271976,2221761,1691784,1615361,312852,328607,32645,29728,173034,183385,7645,6867,54016,57813,1738832,1665559,333524,352912,50177,48386,195313,206284,13257,12513,1780683,1777523,1260166,1227880,288814,304103,16973,16636,168127,178732,5464,5114,41139,45058,1295803,1266792,303624,322490,28585,29480,187229,198392,9960,9660,491293,444238,431618,387481,24038,24504,15672,13092,4907,4653,2181,1753,12877,12755,443029,398767,29900,30422,21592,18906,8084,7892,3297,2853
R,1,2023,37,4524534,2288718,2235816,1712962,1632653,309903,325877,32399,29639,173025,184347,7727,6969,52702,56331,1758627,1681566,330045,348840,49872,47940,194523,206934,13335,12788,1790983,1789114,1275396,1242360,285822,301633,16342,16568,168170,179619,5508,5320,39745,43614,1309570,1280028,300099,318596,27823,29286,186503,198984,9950,10005,497735,446702,437566,390293,24081,24244,16057,13071,4855,4728,2219,1649,12957,12717,449057,401538,29946,30244,22049,18654,8020,7950,3385,2783
R,1,2023,38,4450603,2244573,2206030,1683854,1611893,298405,318690,31569,29108,172601,185036,7450,6688,50694,54615,1727828,1659150,317225,340448,48607,47226,193440,207285,13029,12336,1757902,1764647,1255368,1225937,275429,294930,16062,16154,167711,180539,5287,4994,38045,42093,1288116,1262209,288631,310769,27217,28639,185472,199558,9714,9531,486671,441383,428486,385956,22976,23760,15507,12954,4890,4497,2163,1694,12649,12522,439712,396941,28594,29679,21390,18587,7968,7727,3315,2805
R,1,2023,39,4421294,2228920,2192374,1677525,1604168,292813,314601,31507,28905,170453,184334,7366,6759,49256,53607,1720193,1650566,311038,335445,48247,47217,190762,206077,12688,12420,1746496,1751484,1252353,1218525,270261,290917,15903,15883,165732,179948,5289,5092,36958,41119,1284112,1253889,282955,306108,26963,28477,182968,198487,9492,9596,482424,440890,425172,385643,22552,23684,15604,13022,4721,4386,2077,1667,12298,12488,436081,396677,28083,29337,21284,18740,7794,7590,3196,2824
R,1,2023,40,4488950,2261510,2227440,1706227,1633231,296399,319294,32131,29447,169956,184841,7436,6908,49361,53719,1748998,1679598,314452,340348,49279,48086,190049,206373,12899,12513,1767222,1775000,1270115,1237323,273357,294908,16161,16162,165161,180144,5330,5153,37098,41310,1301993,1272721,285952,310251,27540,29071,182250,198542,9685,9674,494288,452440,436112,395908,23042,24386,15970,13285,4795,4697,2106,1755,12263,12409,447005,406877,28500,30097,21739,19015,7799,7831,3214,2839
R,1,2023,41,4386912,2205795,2181117,1670799,1603931,287913,312829,30426,28126,161929,178409,7267,6449,47461,51373,1711776,1648246,305155,333141,47308,46093,181097,198713,12429,11919,1731783,1740242,1252693,1217585,265845,289406,15155,15349,157338,173804,5172,4741,35580,39357,1283147,1251351,277890,304161,26367,27730,173571,191109,9252,9116,474012,440875,418106,386346,22068,23423,15271,12777,4591,4605,2095,1708,11881,12016,428629,396895,27265,28980,20941,18363,7526,7604,3177,2803
R,1,2023,42,4434889,2231520,2203369,1691969,1619108,295859,322012,31151,28724,157741,175576,7361,6486,47439,51463,1732879,1663471,313235,342297,48040,46976,176894,195759,12714,11950,1743745,1755461,1261189,1226461,273556,298039,15536,15808,152920,170972,5167,4817,35377,39364,1291422,1260117,285585,312702,26728,28491,169065,188163,9433,9241,487775,447908,430780,392647,22303,23973,15615,12916,4821,4604,2194,1669,12062,12099,441457,403354,27650,29595,21312,18485,7829,7596,3281,2709
R,1,2023,43,4262485,2140013,2122472,1623452,1558754,283558,311675,29669,27267,152003,169711,6620,6204,44711,48861,1662068,1600730,299758,331016,46069,44730,169670,188808,11636,11399,1676641,1694053,1214545,1183251,262092,288623,14748,14936,147581,165419,4627,4658,33048,37166,1242828,1214910,273159,302386,25556,27067,162410,181643,8599,8847,463372,428419,408907,375503,21466,23052,14921,12331,4422,4292,1993,1546,11663,11695,419240,385820,26599,28630,20513,17663,7260,7165,3037,2552
R,1,2023,44,4127269,2065976,2061293,1571203,1516483,271089,300279,27972,26493,147319,166119,6211,5746,42182,46173,1607481,1556175,286317,318145,43440,43307,164190,184263,10751,10544,1622026,1643671,1178292,1150500,250851,277980,14178,14347,143046,161755,4429,4216,31230,34873,1204833,1180217,261298,290605,24412,25882,157229,177153,8024,8086,443950,417622,392911,365983,20238,22299,13794,12146,4273,4364,1782,1530,10952,11300,402648,375958,25019,27540,19028,17425,6961,7110,2727,2458
R,1,2023,45,4095399,2046071,2049328,1564105,1514530,264654,295023,28057,26638,142402,162386,6126,5787,40727,44964,1599086,1552957,279199,312403,43404,43294,158528,179970,10570,10522,1604246,1630098,1172213,1145794,245259,273200,14267,14667,138123,158140,4370,4268,30014,34029,1197671,1174612,255073,285433,24449,26204,151681,173090,7875,8077,441825,419230,391892,368736,19395,21823,13790,11971,4279,4246,1756,1519,10713,10935,401415,378345,24126,26970,18955,17090,6847,6880,2695,2445
R,1,2023,46,3946212,1969049,1977163,1502823,1460476,251836,281882,26912,25115,142995,161690,5791,5368,38692,42632,1536161,1496779,265121,298031,41465,41157,158561,178559,10168,9912,1542018,1568128,1123449,1099577,233198,261019,13752,13865,138874,157522,4141,3929,28604,32216,1147799,1126705,242054,272368,23477,25050,152007,171768,7592,7588,427031,409035,379374,360899,18638,20863,13160,11250,4121,4168,1650,1439,10088,10416,388362,370074,23067,25663,17988,16107,6554,6791,2576,2324
R,1,2023,47,3913572,1952549,1961023,1489111,1447549,250200,280657,26496,24943,144670,162403,5526,5319,36546,40152,1520478,1481775,262945,295593,40611,40177,159173,178413,9465,9533,1532217,1557650,1114887,1090634,232179,260488,13456,13778,140677,158293,3992,3960,27026,30497,1137781,1116400,240686,270945,23004,24436,152918,171925,7145,7355,420332,403373,374224,356915,18021,20169,13040,11165,3993,4110,1534,1359,9520,9655,382697,365375,22259,24648,17607,15741,6255,6488,2320,2178
R,1,2023,48,3914428,1951606,1962822,1496082,1458119,246510,277933,26182,24566,142758,158458,5551,5041,34523,38705,1525445,1490925,258210,292220,39763,39599,156520,173790,9493,9028,1539857,1564988,1127579,1104435,229804,258984,13360,13610,138934,154622,4063,3732,26117,29605,1149578,1129224,237937,269062,22658,24256,150779,167828,7255,6968,411749,397834,368503,353684,16706,18949,12822,10956,3824,3836,1488,1309,8406,9100,375867,361701,20273,23158,17105,15343,5741,5962,2238,2060
R,1,2023,49,3854172,1918222,1935950,1468662,1435390,243305,275155,25051,24284,142323,158969,5157,5012,33724,37140,1497335,1466721,254574,288704,38350,38729,155930,173840,8928,8965,1525947,1552138,1117296,1093917,227457,256937,12899,13567,138812,155218,3822,3749,25661,28750,1138840,1117892,235160,266659,22219,24025,150561,168063,6929,6953,392275,383812,351366,341473,15848,18218,12152,10717,3511,3751,1335,1263,8063,8390,358495,348829,19414,22045,16131,14704,5369,5777,1999,2012
R,1,2023,50,3999592,1990794,2008798,1527120,1493411,255364,287743,25955,24750,143231,160528,5212,5043,33912,37323,1555903,1524868,266244,301114,39784,39764,156873,175326,9014,8993,1595124,1621804,1172375,1148842,239630,269485,13550,13943,139608,156778,3912,3756,26049,29000,1194238,1172957,247190,279095,23402,24914,151454,169615,6978,7031,395670,386994,354745,344569,15734,18258,12405,10807,3623,3750,1300,1287,7863,8323,361665,351911,19054,22019,16382,14850,5419,5711,2036,1962
